name	gene	mrna	cds_count	strand	status	type	middle_point	center	chrom	start	end	width	candidate_exon	candidate_updown	cnvplex_format	critical_region_raw	critical_region_merge	cds	start_codon	stop_codon
33-EHMT1-1	EHMT1	NM_024757	27	+	no_cover	start_codon	140513481	140513481	chr9	140512481	140514481	2001	.	33-EHMT1-1-expand2K,chr9:140511481-140515481;33-EHMT1-1-expand5K,chr9:140508481-140518481	33-EHMT1-1,chr9:140512481-140514481	chr9:140492807-140508190	chr9:140492807-140508190	chr9:140513481-140513501,chr9:140605419-140605482,chr9:140611078-140611634,chr9:140622801-140622981,chr9:140637823-140637980,chr9:140638354-140638542,chr9:140646783-140646860,chr9:140648623-140648743,chr9:140652332-140652463,chr9:140657127-140657272,chr9:140669561-140669704,chr9:140671070-140671296,chr9:140672334-140672507,chr9:140674087-140674169,chr9:140676743-140676849,chr9:140685300-140685422,chr9:140693265-140693366,chr9:140695332-140695436,chr9:140705913-140706067,chr9:140707458-140707625,chr9:140707838-140707982,chr9:140708883-140708960,chr9:140710399-140710514,chr9:140711891-140711977,chr9:140712512-140712590,chr9:140728801-140728976,chr9:140729225-140729402	chr9:140513481-140513483	chr9:140729403-140729405
33-EHMT1-2	EHMT1	NM_024757	27	+	no_cover	closest_CDS	140621443	140622891	chr9	140622801	140622981	181	33-EHMT1-2-candidate_CDS2,chr9:140605419-140605482;33-EHMT1-2-candidate_CDS3,chr9:140611078-140611634;33-EHMT1-2-candidate_CDS6,chr9:140638354-140638542;33-EHMT1-2-candidate_CDS7,chr9:140646783-140646860;33-EHMT1-2-candidate_CDS8,chr9:140648623-140648743;33-EHMT1-2-candidate_CDS9,chr9:140652332-140652463;33-EHMT1-2-candidate_CDS10,chr9:140657127-140657272;33-EHMT1-2-candidate_CDS11,chr9:140669561-140669704;33-EHMT1-2-candidate_CDS12,chr9:140671070-140671296;33-EHMT1-2-candidate_CDS13,chr9:140672334-140672507;33-EHMT1-2-candidate_CDS14,chr9:140674087-140674169;33-EHMT1-2-candidate_CDS15,chr9:140676743-140676849;33-EHMT1-2-candidate_CDS16,chr9:140685300-140685422;33-EHMT1-2-candidate_CDS17,chr9:140693265-140693366;33-EHMT1-2-candidate_CDS18,chr9:140695332-140695436;33-EHMT1-2-candidate_CDS19,chr9:140705913-140706067;33-EHMT1-2-candidate_CDS20,chr9:140707458-140707625;33-EHMT1-2-candidate_CDS21,chr9:140707838-140707982;33-EHMT1-2-candidate_CDS22,chr9:140708883-140708960;33-EHMT1-2-candidate_CDS23,chr9:140710399-140710514;33-EHMT1-2-candidate_CDS24,chr9:140711891-140711977;33-EHMT1-2-candidate_CDS25,chr9:140712512-140712590;33-EHMT1-2-candidate_CDS26,chr9:140728801-140728976;33-EHMT1-2-candidate_CDS27,chr9:140729225-140729402;33-EHMT1-2-candidate_CDS1,chr9:140513481-140513501;33-EHMT1-2-candidate_CDS4,chr9:140622801-140622981	.	33-EHMT1-2,chr9:140622801-140622981	chr9:140492807-140508190	chr9:140492807-140508190	chr9:140513481-140513501,chr9:140605419-140605482,chr9:140611078-140611634,chr9:140622801-140622981,chr9:140637823-140637980,chr9:140638354-140638542,chr9:140646783-140646860,chr9:140648623-140648743,chr9:140652332-140652463,chr9:140657127-140657272,chr9:140669561-140669704,chr9:140671070-140671296,chr9:140672334-140672507,chr9:140674087-140674169,chr9:140676743-140676849,chr9:140685300-140685422,chr9:140693265-140693366,chr9:140695332-140695436,chr9:140705913-140706067,chr9:140707458-140707625,chr9:140707838-140707982,chr9:140708883-140708960,chr9:140710399-140710514,chr9:140711891-140711977,chr9:140712512-140712590,chr9:140728801-140728976,chr9:140729225-140729402	chr9:140513481-140513483	chr9:140729403-140729405
33-EHMT1-3	EHMT1	NM_024757	27	+	no_cover	stop_codon	140729405	140729405	chr9	140728405	140730405	2001	.	33-EHMT1-3-expand2K,chr9:140727405-140731405;33-EHMT1-3-expand5K,chr9:140724405-140734405	33-EHMT1-3,chr9:140728405-140730405	chr9:140492807-140508190	chr9:140492807-140508190	chr9:140513481-140513501,chr9:140605419-140605482,chr9:140611078-140611634,chr9:140622801-140622981,chr9:140637823-140637980,chr9:140638354-140638542,chr9:140646783-140646860,chr9:140648623-140648743,chr9:140652332-140652463,chr9:140657127-140657272,chr9:140669561-140669704,chr9:140671070-140671296,chr9:140672334-140672507,chr9:140674087-140674169,chr9:140676743-140676849,chr9:140685300-140685422,chr9:140693265-140693366,chr9:140695332-140695436,chr9:140705913-140706067,chr9:140707458-140707625,chr9:140707838-140707982,chr9:140708883-140708960,chr9:140710399-140710514,chr9:140711891-140711977,chr9:140712512-140712590,chr9:140728801-140728976,chr9:140729225-140729402	chr9:140513481-140513483	chr9:140729403-140729405
37-BTRC-1	BTRC	NM_033637	14	+	two_cover	start_codon	103113938	103113938	chr10	103112938	103114938	2001	.	37-BTRC-1-expand2K,chr10:103111938-103115938;37-BTRC-1-expand5K,chr10:103108938-103118938	37-BTRC-1,chr10:103112938-103114938	chr10:102987428-103366970	chr10:102987428-103366970	chr10:103113938-103113985,chr10:103190102-103190209,chr10:103221738-103221815,chr10:103239125-103239214,chr10:103281396-103281627,chr10:103285770-103285956,chr10:103290994-103291090,chr10:103292052-103292189,chr10:103292709-103292827,chr10:103294418-103294667,chr10:103295111-103295229,chr10:103296300-103296410,chr10:103298050-103298128,chr10:103310456-103310614	chr10:103113938-103113940	chr10:103310615-103310617
37-BTRC-2	BTRC	NM_033637	14	+	two_cover	closest_CDS	103212277	103221776	chr10	103221738	103221815	78	37-BTRC-2-candidate_CDS2,chr10:103190102-103190209;37-BTRC-2-candidate_CDS5,chr10:103281396-103281627;37-BTRC-2-candidate_CDS6,chr10:103285770-103285956;37-BTRC-2-candidate_CDS7,chr10:103290994-103291090;37-BTRC-2-candidate_CDS8,chr10:103292052-103292189;37-BTRC-2-candidate_CDS9,chr10:103292709-103292827;37-BTRC-2-candidate_CDS10,chr10:103294418-103294667;37-BTRC-2-candidate_CDS11,chr10:103295111-103295229;37-BTRC-2-candidate_CDS12,chr10:103296300-103296410;37-BTRC-2-candidate_CDS13,chr10:103298050-103298128;37-BTRC-2-candidate_CDS14,chr10:103310456-103310614;37-BTRC-2-candidate_CDS1,chr10:103113938-103113985;37-BTRC-2-candidate_CDS3,chr10:103221738-103221815	.	37-BTRC-2,chr10:103221738-103221815	chr10:102987428-103366970	chr10:102987428-103366970	chr10:103113938-103113985,chr10:103190102-103190209,chr10:103221738-103221815,chr10:103239125-103239214,chr10:103281396-103281627,chr10:103285770-103285956,chr10:103290994-103291090,chr10:103292052-103292189,chr10:103292709-103292827,chr10:103294418-103294667,chr10:103295111-103295229,chr10:103296300-103296410,chr10:103298050-103298128,chr10:103310456-103310614	chr10:103113938-103113940	chr10:103310615-103310617
37-BTRC-3	BTRC	NM_033637	14	+	two_cover	stop_codon	103310617	103310617	chr10	103309617	103311617	2001	.	37-BTRC-3-expand2K,chr10:103308617-103312617;37-BTRC-3-expand5K,chr10:103305617-103315617	37-BTRC-3,chr10:103309617-103311617	chr10:102987428-103366970	chr10:102987428-103366970	chr10:103113938-103113985,chr10:103190102-103190209,chr10:103221738-103221815,chr10:103239125-103239214,chr10:103281396-103281627,chr10:103285770-103285956,chr10:103290994-103291090,chr10:103292052-103292189,chr10:103292709-103292827,chr10:103294418-103294667,chr10:103295111-103295229,chr10:103296300-103296410,chr10:103298050-103298128,chr10:103310456-103310614	chr10:103113938-103113940	chr10:103310615-103310617
42-PKP2-1	PKP2	NM_004572	14	-	start_cover	start_codon	33049665	33049665	chr12	33048665	33050665	2001	.	42-PKP2-1-expand2K,chr12:33047665-33051665;42-PKP2-1-expand5K,chr12:33044665-33054665	42-PKP2-1,chr12:33048665-33050665	chr12:32974290-32977096,chr12:33049443-33049690	chr12:32974290-33049690	chr12:33049443-33049665,chr12:33031854-33031966,chr12:33030780-33031477,chr12:33021861-33021996,chr12:33003700-33003907,chr12:32996116-32996247,chr12:32993962-32994139,chr12:32976979-32977096,chr12:32975401-32975565,chr12:32974290-32974463,chr12:32955337-32955490,chr12:32949043-32949232,chr12:32945578-32945665,chr12:32945361-32945426	chr12:33049663-33049665	chr12:32945358-32945360
42-PKP2-2	PKP2	NM_004572	14	-	start_cover	closest_CDS	33011977	33003803	chr12	33003700	33003907	208	42-PKP2-2-candidate_CDS7,chr12:32993962-32994139;42-PKP2-2-candidate_CDS2,chr12:33031854-33031966;42-PKP2-2-candidate_CDS8,chr12:32976979-32977096;42-PKP2-2-candidate_CDS6,chr12:32996116-32996247;42-PKP2-2-candidate_CDS4,chr12:33021861-33021996;42-PKP2-2-candidate_CDS9,chr12:32975401-32975565;42-PKP2-2-candidate_CDS1,chr12:33049443-33049665;42-PKP2-2-candidate_CDS5,chr12:33003700-33003907;42-PKP2-2-candidate_CDS10,chr12:32974290-32974463	.	42-PKP2-2,chr12:33003700-33003907	chr12:32974290-32977096,chr12:33049443-33049690	chr12:32974290-33049690	chr12:33049443-33049665,chr12:33031854-33031966,chr12:33030780-33031477,chr12:33021861-33021996,chr12:33003700-33003907,chr12:32996116-32996247,chr12:32993962-32994139,chr12:32976979-32977096,chr12:32975401-32975565,chr12:32974290-32974463,chr12:32955337-32955490,chr12:32949043-32949232,chr12:32945578-32945665,chr12:32945361-32945426	chr12:33049663-33049665	chr12:32945358-32945360
42-PKP2-3	PKP2	NM_004572	14	-	start_cover	demarcation_point	32974290	32974376	chr12	32974290	32974463	174	42-PKP2-3-candidate_CDS2,chr12:33031854-33031966;42-PKP2-3-candidate_CDS3,chr12:33030780-33031477;42-PKP2-3-candidate_CDS4,chr12:33021861-33021996;42-PKP2-3-candidate_CDS5,chr12:33003700-33003907;42-PKP2-3-candidate_CDS6,chr12:32996116-32996247;42-PKP2-3-candidate_CDS7,chr12:32993962-32994139;42-PKP2-3-candidate_CDS8,chr12:32976979-32977096;42-PKP2-3-candidate_CDS9,chr12:32975401-32975565;42-PKP2-3-candidate_CDS10,chr12:32974290-32974463	.	42-PKP2-3,chr12:32974290-32974463	chr12:32974290-32977096,chr12:33049443-33049690	chr12:32974290-33049690	chr12:33049443-33049665,chr12:33031854-33031966,chr12:33030780-33031477,chr12:33021861-33021996,chr12:33003700-33003907,chr12:32996116-32996247,chr12:32993962-32994139,chr12:32976979-32977096,chr12:32975401-32975565,chr12:32974290-32974463,chr12:32955337-32955490,chr12:32949043-32949232,chr12:32945578-32945665,chr12:32945361-32945426	chr12:33049663-33049665	chr12:32945358-32945360
48-NIPA1-1	NIPA1	NM_144599	5	-	two_cover	start_codon	23086411	23086411	chr15	23085411	23087411	2001	.	48-NIPA1-1-expand2K,chr15:23084411-23088411;48-NIPA1-1-expand5K,chr15:23081411-23091411	48-NIPA1-1,chr15:23085411-23087411	chr15:22866888-23076420,chr15:23707452-27783485,chr15:29031708-30366124	chr15:22866888-30366124	chr15:23086234-23086411,chr15:23062272-23062319,chr15:23060815-23060905,chr15:23052595-23052755,chr15:23048832-23049340	chr15:23086409-23086411	chr15:23048829-23048831
48-NIPA1-2	NIPA1	NM_144599	5	-	two_cover	closest_CDS	23067620	23062295	chr15	23062272	23062319	48	48-NIPA1-2-candidate_CDS4,chr15:23052595-23052755;48-NIPA1-2-candidate_CDS5,chr15:23048832-23049340;48-NIPA1-2-candidate_CDS1,chr15:23086234-23086411;48-NIPA1-2-candidate_CDS2,chr15:23062272-23062319	.	48-NIPA1-2,chr15:23062272-23062319	chr15:22866888-23076420,chr15:23707452-27783485,chr15:29031708-30366124	chr15:22866888-30366124	chr15:23086234-23086411,chr15:23062272-23062319,chr15:23060815-23060905,chr15:23052595-23052755,chr15:23048832-23049340	chr15:23086409-23086411	chr15:23048829-23048831
48-NIPA1-3	NIPA1	NM_144599	5	-	two_cover	stop_codon	23048829	23048829	chr15	23047829	23049829	2001	.	48-NIPA1-3-expand2K,chr15:23046829-23050829;48-NIPA1-3-expand5K,chr15:23043829-23053829	48-NIPA1-3,chr15:23047829-23049829	chr15:22866888-23076420,chr15:23707452-27783485,chr15:29031708-30366124	chr15:22866888-30366124	chr15:23086234-23086411,chr15:23062272-23062319,chr15:23060815-23060905,chr15:23052595-23052755,chr15:23048832-23049340	chr15:23086409-23086411	chr15:23048829-23048831
49-CHRNA7-1	CHRNA7	NM_000746	10	+	start_cover	start_codon	32322798	32322798	chr15	32321798	32323798	2001	.	49-CHRNA7-1-expand2K,chr15:32320798-32324798;49-CHRNA7-1-expand5K,chr15:32317798-32327798	49-CHRNA7-1,chr15:32321798-32323798	chr15:32076948-32443563	chr15:32076948-32443563	chr15:32322798-32322852,chr15:32323101-32323240,chr15:32393506-32393550,chr15:32403991-32404100,chr15:32446108-32446187,chr15:32449809-32449976,chr15:32450613-32450807,chr15:32451770-32451856,chr15:32455427-32455536,chr15:32460141-32460656	chr15:32322798-32322800	chr15:32460657-32460659
49-CHRNA7-2	CHRNA7	NM_000746	10	+	start_cover	closest_CDS	32383180	32393528	chr15	32393506	32393550	45	49-CHRNA7-2-candidate_CDS1,chr15:32322798-32322852;49-CHRNA7-2-candidate_CDS4,chr15:32403991-32404100;49-CHRNA7-2-candidate_CDS3,chr15:32393506-32393550	.	49-CHRNA7-2,chr15:32393506-32393550	chr15:32076948-32443563	chr15:32076948-32443563	chr15:32322798-32322852,chr15:32323101-32323240,chr15:32393506-32393550,chr15:32403991-32404100,chr15:32446108-32446187,chr15:32449809-32449976,chr15:32450613-32450807,chr15:32451770-32451856,chr15:32455427-32455536,chr15:32460141-32460656	chr15:32322798-32322800	chr15:32460657-32460659
49-CHRNA7-3	CHRNA7	NM_000746	10	+	start_cover	demarcation_point	32443563	32404045	chr15	32403991	32404100	110	49-CHRNA7-3-candidate_CDS2,chr15:32323101-32323240;49-CHRNA7-3-candidate_CDS3,chr15:32393506-32393550;49-CHRNA7-3-candidate_CDS4,chr15:32403991-32404100	.	49-CHRNA7-3,chr15:32403991-32404100	chr15:32076948-32443563	chr15:32076948-32443563	chr15:32322798-32322852,chr15:32323101-32323240,chr15:32393506-32393550,chr15:32403991-32404100,chr15:32446108-32446187,chr15:32449809-32449976,chr15:32450613-32450807,chr15:32451770-32451856,chr15:32455427-32455536,chr15:32460141-32460656	chr15:32322798-32322800	chr15:32460657-32460659
53-CREBBP-1	CREBBP	NM_004380	31	-	no_cover	start_codon	3929917	3929917	chr16	3928917	3930917	2001	.	53-CREBBP-1-expand2K,chr16:3927917-3931917;53-CREBBP-1-expand5K,chr16:3924917-3934917	53-CREBBP-1,chr16:3928917-3930917	chr16:3776715-3777121	chr16:3776715-3777121	chr16:3929833-3929917,chr16:3900298-3901010,chr16:3860604-3860780,chr16:3843387-3843627,chr16:3841982-3842095,chr16:3832685-3832927,chr16:3831205-3831307,chr16:3830733-3830879,chr16:3828701-3828818,chr16:3828012-3828183,chr16:3827614-3827658,chr16:3824570-3824694,chr16:3823752-3823931,chr16:3820571-3820987,chr16:3819175-3819354,chr16:3817721-3817910,chr16:3808855-3808973,chr16:3807810-3808049,chr16:3807289-3807377,chr16:3801727-3801807,chr16:3799628-3799684,chr16:3795278-3795355,chr16:3794895-3794962,chr16:3790400-3790550,chr16:3789579-3789725,chr16:3788560-3788673,chr16:3786651-3786816,chr16:3786037-3786204,chr16:3781777-3781938,chr16:3781193-3781474,chr16:3777722-3779875	chr16:3929915-3929917	chr16:3777719-3777721
53-CREBBP-2	CREBBP	NM_004380	31	-	no_cover	closest_CDS	3853818	3860692	chr16	3860604	3860780	177	53-CREBBP-2-candidate_CDS6,chr16:3832685-3832927;53-CREBBP-2-candidate_CDS7,chr16:3831205-3831307;53-CREBBP-2-candidate_CDS8,chr16:3830733-3830879;53-CREBBP-2-candidate_CDS9,chr16:3828701-3828818;53-CREBBP-2-candidate_CDS10,chr16:3828012-3828183;53-CREBBP-2-candidate_CDS11,chr16:3827614-3827658;53-CREBBP-2-candidate_CDS12,chr16:3824570-3824694;53-CREBBP-2-candidate_CDS13,chr16:3823752-3823931;53-CREBBP-2-candidate_CDS14,chr16:3820571-3820987;53-CREBBP-2-candidate_CDS15,chr16:3819175-3819354;53-CREBBP-2-candidate_CDS16,chr16:3817721-3817910;53-CREBBP-2-candidate_CDS17,chr16:3808855-3808973;53-CREBBP-2-candidate_CDS18,chr16:3807810-3808049;53-CREBBP-2-candidate_CDS19,chr16:3807289-3807377;53-CREBBP-2-candidate_CDS2,chr16:3900298-3901010;53-CREBBP-2-candidate_CDS20,chr16:3801727-3801807;53-CREBBP-2-candidate_CDS4,chr16:3843387-3843627;53-CREBBP-2-candidate_CDS21,chr16:3799628-3799684;53-CREBBP-2-candidate_CDS22,chr16:3795278-3795355;53-CREBBP-2-candidate_CDS23,chr16:3794895-3794962;53-CREBBP-2-candidate_CDS24,chr16:3790400-3790550;53-CREBBP-2-candidate_CDS25,chr16:3789579-3789725;53-CREBBP-2-candidate_CDS26,chr16:3788560-3788673;53-CREBBP-2-candidate_CDS27,chr16:3786651-3786816;53-CREBBP-2-candidate_CDS28,chr16:3786037-3786204;53-CREBBP-2-candidate_CDS29,chr16:3781777-3781938;53-CREBBP-2-candidate_CDS30,chr16:3781193-3781474;53-CREBBP-2-candidate_CDS31,chr16:3777722-3779875;53-CREBBP-2-candidate_CDS1,chr16:3929833-3929917;53-CREBBP-2-candidate_CDS3,chr16:3860604-3860780	.	53-CREBBP-2,chr16:3860604-3860780	chr16:3776715-3777121	chr16:3776715-3777121	chr16:3929833-3929917,chr16:3900298-3901010,chr16:3860604-3860780,chr16:3843387-3843627,chr16:3841982-3842095,chr16:3832685-3832927,chr16:3831205-3831307,chr16:3830733-3830879,chr16:3828701-3828818,chr16:3828012-3828183,chr16:3827614-3827658,chr16:3824570-3824694,chr16:3823752-3823931,chr16:3820571-3820987,chr16:3819175-3819354,chr16:3817721-3817910,chr16:3808855-3808973,chr16:3807810-3808049,chr16:3807289-3807377,chr16:3801727-3801807,chr16:3799628-3799684,chr16:3795278-3795355,chr16:3794895-3794962,chr16:3790400-3790550,chr16:3789579-3789725,chr16:3788560-3788673,chr16:3786651-3786816,chr16:3786037-3786204,chr16:3781777-3781938,chr16:3781193-3781474,chr16:3777722-3779875	chr16:3929915-3929917	chr16:3777719-3777721
53-CREBBP-3	CREBBP	NM_004380	31	-	no_cover	stop_codon	3777719	3777719	chr16	3776719	3778719	2001	.	53-CREBBP-3-expand2K,chr16:3775719-3779719;53-CREBBP-3-expand5K,chr16:3772719-3782719	53-CREBBP-3,chr16:3776719-3778719	chr16:3776715-3777121	chr16:3776715-3777121	chr16:3929833-3929917,chr16:3900298-3901010,chr16:3860604-3860780,chr16:3843387-3843627,chr16:3841982-3842095,chr16:3832685-3832927,chr16:3831205-3831307,chr16:3830733-3830879,chr16:3828701-3828818,chr16:3828012-3828183,chr16:3827614-3827658,chr16:3824570-3824694,chr16:3823752-3823931,chr16:3820571-3820987,chr16:3819175-3819354,chr16:3817721-3817910,chr16:3808855-3808973,chr16:3807810-3808049,chr16:3807289-3807377,chr16:3801727-3801807,chr16:3799628-3799684,chr16:3795278-3795355,chr16:3794895-3794962,chr16:3790400-3790550,chr16:3789579-3789725,chr16:3788560-3788673,chr16:3786651-3786816,chr16:3786037-3786204,chr16:3781777-3781938,chr16:3781193-3781474,chr16:3777722-3779875	chr16:3929915-3929917	chr16:3777719-3777721
54-MYH11-1	MYH11	NM_002474	40	-	two_cover	start_codon	15932109	15932109	chr16	15931109	15933109	2001	.	54-MYH11-1-expand2K,chr16:15930109-15934109;54-MYH11-1-expand5K,chr16:15927109-15937109	54-MYH11-1,chr16:15931109-15933109	chr16:15551302-16194578	chr16:15551302-16194578	chr16:15931765-15932109,chr16:15917112-15917268,chr16:15892517-15892544,chr16:15880487-15880589,chr16:15876242-15876334,chr16:15872637-15872700,chr16:15869935-15870033,chr16:15865426-15865569,chr16:15857653-15857748,chr16:15854397-15854515,chr16:15853433-15853585,chr16:15851684-15851857,chr16:15850198-15850371,chr16:15847251-15847365,chr16:15843995-15844188,chr16:15841904-15842025,chr16:15841731-15841800,chr16:15841427-15841587,chr16:15838986-15839094,chr16:15835617-15835748,chr16:15835320-15835526,chr16:15833908-15834045,chr16:15832422-15832545,chr16:15831306-15831477,chr16:15829223-15829435,chr16:15826421-15826565,chr16:15820705-15820911,chr16:15818745-15818849,chr16:15818504-15818656,chr16:15818018-15818266,chr16:15815279-15815491,chr16:15814696-15814908,chr16:15814008-15814169,chr16:15813442-15813570,chr16:15813077-15813165,chr16:15812172-15812295,chr16:15810997-15811205,chr16:15809021-15809129,chr16:15808766-15808938,chr16:15797851-15797980	chr16:15932107-15932109	chr16:15797848-15797850
54-MYH11-2	MYH11	NM_002474	40	-	two_cover	closest_CDS	15864978	15865497	chr16	15865426	15865569	144	54-MYH11-2-candidate_CDS12,chr16:15853433-15853585;54-MYH11-2-candidate_CDS14,chr16:15850198-15850371;54-MYH11-2-candidate_CDS6,chr16:15876242-15876334;54-MYH11-2-candidate_CDS5,chr16:15880487-15880589;54-MYH11-2-candidate_CDS11,chr16:15854397-15854515;54-MYH11-2-candidate_CDS15,chr16:15847251-15847365;54-MYH11-2-candidate_CDS16,chr16:15843995-15844188;54-MYH11-2-candidate_CDS17,chr16:15841904-15842025;54-MYH11-2-candidate_CDS7,chr16:15872637-15872700;54-MYH11-2-candidate_CDS18,chr16:15841731-15841800;54-MYH11-2-candidate_CDS19,chr16:15841427-15841587;54-MYH11-2-candidate_CDS20,chr16:15838986-15839094;54-MYH11-2-candidate_CDS4,chr16:15892517-15892544;54-MYH11-2-candidate_CDS21,chr16:15835617-15835748;54-MYH11-2-candidate_CDS22,chr16:15835320-15835526;54-MYH11-2-candidate_CDS10,chr16:15857653-15857748;54-MYH11-2-candidate_CDS23,chr16:15833908-15834045;54-MYH11-2-candidate_CDS24,chr16:15832422-15832545;54-MYH11-2-candidate_CDS25,chr16:15831306-15831477;54-MYH11-2-candidate_CDS26,chr16:15829223-15829435;54-MYH11-2-candidate_CDS27,chr16:15826421-15826565;54-MYH11-2-candidate_CDS28,chr16:15820705-15820911;54-MYH11-2-candidate_CDS29,chr16:15818745-15818849;54-MYH11-2-candidate_CDS30,chr16:15818504-15818656;54-MYH11-2-candidate_CDS31,chr16:15818018-15818266;54-MYH11-2-candidate_CDS32,chr16:15815279-15815491;54-MYH11-2-candidate_CDS33,chr16:15814696-15814908;54-MYH11-2-candidate_CDS34,chr16:15814008-15814169;54-MYH11-2-candidate_CDS35,chr16:15813442-15813570;54-MYH11-2-candidate_CDS36,chr16:15813077-15813165;54-MYH11-2-candidate_CDS3,chr16:15917112-15917268;54-MYH11-2-candidate_CDS37,chr16:15812172-15812295;54-MYH11-2-candidate_CDS8,chr16:15869935-15870033;54-MYH11-2-candidate_CDS38,chr16:15810997-15811205;54-MYH11-2-candidate_CDS39,chr16:15809021-15809129;54-MYH11-2-candidate_CDS40,chr16:15808766-15808938;54-MYH11-2-candidate_CDS2,chr16:15931765-15932109;54-MYH11-2-candidate_CDS9,chr16:15865426-15865569;54-MYH11-2-candidate_CDS41,chr16:15797851-15797980	.	54-MYH11-2,chr16:15865426-15865569	chr16:15551302-16194578	chr16:15551302-16194578	chr16:15931765-15932109,chr16:15917112-15917268,chr16:15892517-15892544,chr16:15880487-15880589,chr16:15876242-15876334,chr16:15872637-15872700,chr16:15869935-15870033,chr16:15865426-15865569,chr16:15857653-15857748,chr16:15854397-15854515,chr16:15853433-15853585,chr16:15851684-15851857,chr16:15850198-15850371,chr16:15847251-15847365,chr16:15843995-15844188,chr16:15841904-15842025,chr16:15841731-15841800,chr16:15841427-15841587,chr16:15838986-15839094,chr16:15835617-15835748,chr16:15835320-15835526,chr16:15833908-15834045,chr16:15832422-15832545,chr16:15831306-15831477,chr16:15829223-15829435,chr16:15826421-15826565,chr16:15820705-15820911,chr16:15818745-15818849,chr16:15818504-15818656,chr16:15818018-15818266,chr16:15815279-15815491,chr16:15814696-15814908,chr16:15814008-15814169,chr16:15813442-15813570,chr16:15813077-15813165,chr16:15812172-15812295,chr16:15810997-15811205,chr16:15809021-15809129,chr16:15808766-15808938,chr16:15797851-15797980	chr16:15932107-15932109	chr16:15797848-15797850
54-MYH11-3	MYH11	NM_002474	40	-	two_cover	stop_codon	15797848	15797848	chr16	15796848	15798848	2001	.	54-MYH11-3-expand2K,chr16:15795848-15799848;54-MYH11-3-expand5K,chr16:15792848-15802848	54-MYH11-3,chr16:15796848-15798848	chr16:15551302-16194578	chr16:15551302-16194578	chr16:15931765-15932109,chr16:15917112-15917268,chr16:15892517-15892544,chr16:15880487-15880589,chr16:15876242-15876334,chr16:15872637-15872700,chr16:15869935-15870033,chr16:15865426-15865569,chr16:15857653-15857748,chr16:15854397-15854515,chr16:15853433-15853585,chr16:15851684-15851857,chr16:15850198-15850371,chr16:15847251-15847365,chr16:15843995-15844188,chr16:15841904-15842025,chr16:15841731-15841800,chr16:15841427-15841587,chr16:15838986-15839094,chr16:15835617-15835748,chr16:15835320-15835526,chr16:15833908-15834045,chr16:15832422-15832545,chr16:15831306-15831477,chr16:15829223-15829435,chr16:15826421-15826565,chr16:15820705-15820911,chr16:15818745-15818849,chr16:15818504-15818656,chr16:15818018-15818266,chr16:15815279-15815491,chr16:15814696-15814908,chr16:15814008-15814169,chr16:15813442-15813570,chr16:15813077-15813165,chr16:15812172-15812295,chr16:15810997-15811205,chr16:15809021-15809129,chr16:15808766-15808938,chr16:15797851-15797980	chr16:15932107-15932109	chr16:15797848-15797850
56-CDR2-1	CDR2	NM_001802	5	-	stop_cover	demarcation_point	22380197	22376279	chr16	22376223	22376335	113	56-CDR2-1-candidate_CDS3,chr16:22361022-22361170;56-CDR2-1-candidate_CDS4,chr16:22360600-22360764;56-CDR2-1-candidate_CDS5,chr16:22358289-22359144	.	56-CDR2-1,chr16:22376223-22376335	chr16:22043878-22380197	chr16:22043878-22380197	chr16:22385552-22385630,chr16:22376223-22376335,chr16:22361022-22361170,chr16:22360600-22360764,chr16:22358289-22359144	chr16:22385628-22385630	chr16:22358286-22358288
56-CDR2-2	CDR2	NM_001802	5	-	stop_cover	closest_CDS	22369241	22376279	chr16	22376223	22376335	113	56-CDR2-2-candidate_CDS3,chr16:22361022-22361170;56-CDR2-2-candidate_CDS4,chr16:22360600-22360764;56-CDR2-2-candidate_CDS5,chr16:22358289-22359144	.	56-CDR2-2,chr16:22376223-22376335	chr16:22043878-22380197	chr16:22043878-22380197	chr16:22385552-22385630,chr16:22376223-22376335,chr16:22361022-22361170,chr16:22360600-22360764,chr16:22358289-22359144	chr16:22385628-22385630	chr16:22358286-22358288
56-CDR2-3	CDR2	NM_001802	5	-	stop_cover	stop_codon	22358286	22358286	chr16	22357286	22359286	2001	.	56-CDR2-3-expand2K,chr16:22356286-22360286;56-CDR2-3-expand5K,chr16:22353286-22363286	56-CDR2-3,chr16:22357286-22359286	chr16:22043878-22380197	chr16:22043878-22380197	chr16:22385552-22385630,chr16:22376223-22376335,chr16:22361022-22361170,chr16:22360600-22360764,chr16:22358289-22359144	chr16:22385628-22385630	chr16:22358286-22358288
