name	center	type	chrom	start	end	width	message	cnvplex_1K	cnvplex_10K	cnvplex_100K	cnvplex_200K
chr5-CQ6	155405641	CQ6	chr5	154405641	156405641	2000001	.	chr5-CQ6,chr5:155404641-155406641	chr5-CQ6,chr5:155395641-155415641	chr5-CQ6,chr5:155305641-155505641	chr5-CQ6,chr5:155205641-155605641
chr6-AP0	1	AP0	chr6	1	200001	200001	可用6p0M	chr6-AP0,chr6:1-1001	chr6-AP0,chr6:1-10001	chr6-AP0,chr6:1-100001	chr6-AP0,chr6:1-200001
chr6-AP1	1000000	AP1	chr6	800000	1200000	400001	.	chr6-AP1,chr6:999000-1001000	chr6-AP1,chr6:990000-1010000	chr6-AP1,chr6:900000-1100000	chr6-AP1,chr6:800000-1200000
chr6-AP2	2000000	AP2	chr6	1800000	2200000	400001	.	chr6-AP2,chr6:1999000-2001000	chr6-AP2,chr6:1990000-2010000	chr6-AP2,chr6:1900000-2100000	chr6-AP2,chr6:1800000-2200000
chr6-AP3	3000000	AP3	chr6	2800000	3200000	400001	.	chr6-AP3,chr6:2999000-3001000	chr6-AP3,chr6:2990000-3010000	chr6-AP3,chr6:2900000-3100000	chr6-AP3,chr6:2800000-3200000
chr6-AP5	5000000	AP5	chr6	4800000	5200000	400001	.	chr6-AP5,chr6:4999000-5001000	chr6-AP5,chr6:4990000-5010000	chr6-AP5,chr6:4900000-5100000	chr6-AP5,chr6:4800000-5200000
chr6-AQ0	171115067	AQ0	chr6	170915067	171115067	200001	可用6q0M	chr6-AQ0,chr6:171114067-171116067	chr6-AQ0,chr6:171105067-171125067	chr6-AQ0,chr6:171015067-171215067	chr6-AQ0,chr6:170915067-171115067
chr6-AQ1	170115067	AQ1	chr6	169915067	170315067	400001	.	chr6-AQ1,chr6:170114067-170116067	chr6-AQ1,chr6:170105067-170125067	chr6-AQ1,chr6:170015067-170215067	chr6-AQ1,chr6:169915067-170315067
chr6-AQ2	169115067	AQ2	chr6	168915067	169315067	400001	.	chr6-AQ2,chr6:169114067-169116067	chr6-AQ2,chr6:169105067-169125067	chr6-AQ2,chr6:169015067-169215067	chr6-AQ2,chr6:168915067-169315067
chr6-AQ3	168115067	AQ3	chr6	167915067	168315067	400001	.	chr6-AQ3,chr6:168114067-168116067	chr6-AQ3,chr6:168105067-168125067	chr6-AQ3,chr6:168015067-168215067	chr6-AQ3,chr6:167915067-168315067
chr6-AQ5	166115067	AQ5	chr6	165915067	166315067	400001	.	chr6-AQ5,chr6:166114067-166116067	chr6-AQ5,chr6:166105067-166125067	chr6-AQ5,chr6:166015067-166215067	chr6-AQ5,chr6:165915067-166315067
chr6-BP1	57830166	BP1	chr6	57630166	58030166	400001	.	chr6-BP1,chr6:57829166-57831166	chr6-BP1,chr6:57820166-57840166	chr6-BP1,chr6:57730166-57930166	chr6-BP1,chr6:57630166-58030166
chr6-BP0	58830166	BP0	chr6	58630166	59030166	400001	可用6p58M	chr6-BP0,chr6:58829166-58831166	chr6-BP0,chr6:58820166-58840166	chr6-BP0,chr6:58730166-58930166	chr6-BP0,chr6:58630166-59030166
chr6-BQ0	61830166	BQ0	chr6	61630166	62030166	400001	.	chr6-BQ0,chr6:61829166-61831166	chr6-BQ0,chr6:61820166-61840166	chr6-BQ0,chr6:61730166-61930166	chr6-BQ0,chr6:61630166-62030166
chr6-BQ1	62830166	BQ1	chr6	62630166	63030166	400001	.	chr6-BQ1,chr6:62829166-62831166	chr6-BQ1,chr6:62820166-62840166	chr6-BQ1,chr6:62730166-62930166	chr6-BQ1,chr6:62630166-63030166
chr6-CP1	10000000	CP1	chr6	9000000	11000000	2000001	.	chr6-CP1,chr6:9999000-10001000	chr6-CP1,chr6:9990000-10010000	chr6-CP1,chr6:9900000-10100000	chr6-CP1,chr6:9800000-10200000
chr6-CP2	30000000	CP2	chr6	29000000	31000000	2000001	可用6p20M	chr6-CP2,chr6:29999000-30001000	chr6-CP2,chr6:29990000-30010000	chr6-CP2,chr6:29900000-30100000	chr6-CP2,chr6:29800000-30200000
chr6-CP3	50000000	CP3	chr6	49000000	51000000	2000001	.	chr6-CP3,chr6:49999000-50001000	chr6-CP3,chr6:49990000-50010000	chr6-CP3,chr6:49900000-50100000	chr6-CP3,chr6:49800000-50200000
chr6-CQ1	67830166	CQ1	chr6	66830166	68830166	2000001	.	chr6-CQ1,chr6:67829166-67831166	chr6-CQ1,chr6:67820166-67840166	chr6-CQ1,chr6:67730166-67930166	chr6-CQ1,chr6:67630166-68030166
chr6-CQ2	87830166	CQ2	chr6	86830166	88830166	2000001	.	chr6-CQ2,chr6:87829166-87831166	chr6-CQ2,chr6:87820166-87840166	chr6-CQ2,chr6:87730166-87930166	chr6-CQ2,chr6:87630166-88030166
chr6-CQ3	107830166	CQ3	chr6	106830166	108830166	2000001	.	chr6-CQ3,chr6:107829166-107831166	chr6-CQ3,chr6:107820166-107840166	chr6-CQ3,chr6:107730166-107930166	chr6-CQ3,chr6:107630166-108030166
chr6-CQ4	127830166	CQ4	chr6	126830166	128830166	2000001	.	chr6-CQ4,chr6:127829166-127831166	chr6-CQ4,chr6:127820166-127840166	chr6-CQ4,chr6:127730166-127930166	chr6-CQ4,chr6:127630166-128030166
chr6-CQ5	147830166	CQ5	chr6	146830166	148830166	2000001	.	chr6-CQ5,chr6:147829166-147831166	chr6-CQ5,chr6:147820166-147840166	chr6-CQ5,chr6:147730166-147930166	chr6-CQ5,chr6:147630166-148030166
chr7-AP0	1	AP0	chr7	1	200001	200001	skip无法设计	chr7-AP0,chr7:1-1001	chr7-AP0,chr7:1-10001	chr7-AP0,chr7:1-100001	chr7-AP0,chr7:1-200001
chr7-AP1	1000000	AP1	chr7	800000	1200000	400001	.	chr7-AP1,chr7:999000-1001000	chr7-AP1,chr7:990000-1010000	chr7-AP1,chr7:900000-1100000	chr7-AP1,chr7:800000-1200000
chr7-AP2	2000000	AP2	chr7	1800000	2200000	400001	.	chr7-AP2,chr7:1999000-2001000	chr7-AP2,chr7:1990000-2010000	chr7-AP2,chr7:1900000-2100000	chr7-AP2,chr7:1800000-2200000
chr7-AP3	3000000	AP3	chr7	2800000	3200000	400001	.	chr7-AP3,chr7:2999000-3001000	chr7-AP3,chr7:2990000-3010000	chr7-AP3,chr7:2900000-3100000	chr7-AP3,chr7:2800000-3200000
chr7-AP5	5000000	AP5	chr7	4800000	5200000	400001	.	chr7-AP5,chr7:4999000-5001000	chr7-AP5,chr7:4990000-5010000	chr7-AP5,chr7:4900000-5100000	chr7-AP5,chr7:4800000-5200000
chr7-AQ0	159138663	AQ0	chr7	158938663	159138663	200001	.	chr7-AQ0,chr7:159137663-159139663	chr7-AQ0,chr7:159128663-159148663	chr7-AQ0,chr7:159038663-159238663	chr7-AQ0,chr7:158938663-159138663
chr7-AQ1	158138663	AQ1	chr7	157938663	158338663	400001	.	chr7-AQ1,chr7:158137663-158139663	chr7-AQ1,chr7:158128663-158148663	chr7-AQ1,chr7:158038663-158238663	chr7-AQ1,chr7:157938663-158338663
chr7-AQ2	157138663	AQ2	chr7	156938663	157338663	400001	.	chr7-AQ2,chr7:157137663-157139663	chr7-AQ2,chr7:157128663-157148663	chr7-AQ2,chr7:157038663-157238663	chr7-AQ2,chr7:156938663-157338663
chr7-AQ3	156138663	AQ3	chr7	155938663	156338663	400001	.	chr7-AQ3,chr7:156137663-156139663	chr7-AQ3,chr7:156128663-156148663	chr7-AQ3,chr7:156038663-156238663	chr7-AQ3,chr7:155938663-156338663
chr7-AQ5	154138663	AQ5	chr7	153938663	154338663	400001	.	chr7-AQ5,chr7:154137663-154139663	chr7-AQ5,chr7:154128663-154148663	chr7-AQ5,chr7:154038663-154238663	chr7-AQ5,chr7:153938663-154338663
chr7-BP1	57054331	BP1	chr7	56854331	57254331	400001	.	chr7-BP1,chr7:57053331-57055331	chr7-BP1,chr7:57044331-57064331	chr7-BP1,chr7:56954331-57154331	chr7-BP1,chr7:56854331-57254331
chr7-BP0	56000000	BP0	chr7	55800000	56200000	400001	可设计在56M附近	chr7-BP0,chr7:55999000-56001000	chr7-BP0,chr7:55990000-56010000	chr7-BP0,chr7:55900000-56100000	chr7-BP0,chr7:55800000-56200000
chr7-BQ0	61054331	BQ0	chr7	60854331	61254331	400001	可用7q96M	chr7-BQ0,chr7:61053331-61055331	chr7-BQ0,chr7:61044331-61064331	chr7-BQ0,chr7:60954331-61154331	chr7-BQ0,chr7:60854331-61254331
chr7-BQ1	63500000	BQ1	chr7	63300000	63700000	400001	可设计在63.5M附近	chr7-BQ1,chr7:63499000-63501000	chr7-BQ1,chr7:63490000-63510000	chr7-BQ1,chr7:63400000-63600000	chr7-BQ1,chr7:63300000-63700000
chr7-CP1	10000000	CP1	chr7	9000000	11000000	2000001	.	chr7-CP1,chr7:9999000-10001000	chr7-CP1,chr7:9990000-10010000	chr7-CP1,chr7:9900000-10100000	chr7-CP1,chr7:9800000-10200000
chr7-CP2	30000000	CP2	chr7	29000000	31000000	2000001	.	chr7-CP2,chr7:29999000-30001000	chr7-CP2,chr7:29990000-30010000	chr7-CP2,chr7:29900000-30100000	chr7-CP2,chr7:29800000-30200000
chr7-CP3	50000000	CP3	chr7	49000000	51000000	2000001	.	chr7-CP3,chr7:49999000-50001000	chr7-CP3,chr7:49990000-50010000	chr7-CP3,chr7:49900000-50100000	chr7-CP3,chr7:49800000-50200000
chr7-CQ1	67054331	CQ1	chr7	66054331	68054331	2000001	.	chr7-CQ1,chr7:67053331-67055331	chr7-CQ1,chr7:67044331-67064331	chr7-CQ1,chr7:66954331-67154331	chr7-CQ1,chr7:66854331-67254331
chr7-CQ2	87054331	CQ2	chr7	86054331	88054331	2000001	.	chr7-CQ2,chr7:87053331-87055331	chr7-CQ2,chr7:87044331-87064331	chr7-CQ2,chr7:86954331-87154331	chr7-CQ2,chr7:86854331-87254331
chr7-CQ3	107054331	CQ3	chr7	106054331	108054331	2000001	.	chr7-CQ3,chr7:107053331-107055331	chr7-CQ3,chr7:107044331-107064331	chr7-CQ3,chr7:106954331-107154331	chr7-CQ3,chr7:106854331-107254331
chr7-CQ4	127054331	CQ4	chr7	126054331	128054331	2000001	.	chr7-CQ4,chr7:127053331-127055331	chr7-CQ4,chr7:127044331-127064331	chr7-CQ4,chr7:126954331-127154331	chr7-CQ4,chr7:126854331-127254331
chr7-CQ5	147054331	CQ5	chr7	146054331	148054331	2000001	.	chr7-CQ5,chr7:147053331-147055331	chr7-CQ5,chr7:147044331-147064331	chr7-CQ5,chr7:146954331-147154331	chr7-CQ5,chr7:146854331-147254331
chr8-AP0	1	AP0	chr8	1	200001	200001	.	chr8-AP0,chr8:1-1001	chr8-AP0,chr8:1-10001	chr8-AP0,chr8:1-100001	chr8-AP0,chr8:1-200001
chr8-AP1	1000000	AP1	chr8	800000	1200000	400001	.	chr8-AP1,chr8:999000-1001000	chr8-AP1,chr8:990000-1010000	chr8-AP1,chr8:900000-1100000	chr8-AP1,chr8:800000-1200000
chr8-AP2	2000000	AP2	chr8	1800000	2200000	400001	.	chr8-AP2,chr8:1999000-2001000	chr8-AP2,chr8:1990000-2010000	chr8-AP2,chr8:1900000-2100000	chr8-AP2,chr8:1800000-2200000
chr8-AP3	3000000	AP3	chr8	2800000	3200000	400001	.	chr8-AP3,chr8:2999000-3001000	chr8-AP3,chr8:2990000-3010000	chr8-AP3,chr8:2900000-3100000	chr8-AP3,chr8:2800000-3200000
chr8-AP5	5000000	AP5	chr8	4800000	5200000	400001	.	chr8-AP5,chr8:4999000-5001000	chr8-AP5,chr8:4990000-5010000	chr8-AP5,chr8:4900000-5100000	chr8-AP5,chr8:4800000-5200000
chr8-AQ0	146364022	AQ0	chr8	146164022	146364022	200001	.	chr8-AQ0,chr8:146363022-146365022	chr8-AQ0,chr8:146354022-146374022	chr8-AQ0,chr8:146264022-146464022	chr8-AQ0,chr8:146164022-146364022
chr8-AQ1	145364022	AQ1	chr8	145164022	145564022	400001	.	chr8-AQ1,chr8:145363022-145365022	chr8-AQ1,chr8:145354022-145374022	chr8-AQ1,chr8:145264022-145464022	chr8-AQ1,chr8:145164022-145564022
chr8-AQ2	144364022	AQ2	chr8	144164022	144564022	400001	.	chr8-AQ2,chr8:144363022-144365022	chr8-AQ2,chr8:144354022-144374022	chr8-AQ2,chr8:144264022-144464022	chr8-AQ2,chr8:144164022-144564022
chr8-AQ3	143364022	AQ3	chr8	143164022	143564022	400001	.	chr8-AQ3,chr8:143363022-143365022	chr8-AQ3,chr8:143354022-143374022	chr8-AQ3,chr8:143264022-143464022	chr8-AQ3,chr8:143164022-143564022
chr8-AQ5	141364022	AQ5	chr8	141164022	141564022	400001	.	chr8-AQ5,chr8:141363022-141365022	chr8-AQ5,chr8:141354022-141374022	chr8-AQ5,chr8:141264022-141464022	chr8-AQ5,chr8:141164022-141564022
chr8-BP1	42838887	BP1	chr8	42638887	43038887	400001	.	chr8-BP1,chr8:42837887-42839887	chr8-BP1,chr8:42828887-42848887	chr8-BP1,chr8:42738887-42938887	chr8-BP1,chr8:42638887-43038887
chr8-BP0	42800000	BP0	chr8	42600000	43000000	400001	可设计在41.8M附近	chr8-BP0,chr8:42799000-42801000	chr8-BP0,chr8:42790000-42810000	chr8-BP0,chr8:42700000-42900000	chr8-BP0,chr8:42600000-43000000
chr8-BQ0	46838887	BQ0	chr8	46638887	47038887	400001	.	chr8-BQ0,chr8:46837887-46839887	chr8-BQ0,chr8:46828887-46848887	chr8-BQ0,chr8:46738887-46938887	chr8-BQ0,chr8:46638887-47038887
chr8-BQ1	47838887	BQ1	chr8	47638887	48038887	400001	.	chr8-BQ1,chr8:47837887-47839887	chr8-BQ1,chr8:47828887-47848887	chr8-BQ1,chr8:47738887-47938887	chr8-BQ1,chr8:47638887-48038887
chr8-CP1	10000000	CP1	chr8	9000000	11000000	2000001	.	chr8-CP1,chr8:9999000-10001000	chr8-CP1,chr8:9990000-10010000	chr8-CP1,chr8:9900000-10100000	chr8-CP1,chr8:9800000-10200000
chr8-CP2	30000000	CP2	chr8	29000000	31000000	2000001	.	chr8-CP2,chr8:29999000-30001000	chr8-CP2,chr8:29990000-30010000	chr8-CP2,chr8:29900000-30100000	chr8-CP2,chr8:29800000-30200000
chr8-CQ1	52838887	CQ1	chr8	51838887	53838887	2000001	.	chr8-CQ1,chr8:52837887-52839887	chr8-CQ1,chr8:52828887-52848887	chr8-CQ1,chr8:52738887-52938887	chr8-CQ1,chr8:52638887-53038887
chr8-CQ2	72838887	CQ2	chr8	71838887	73838887	2000001	.	chr8-CQ2,chr8:72837887-72839887	chr8-CQ2,chr8:72828887-72848887	chr8-CQ2,chr8:72738887-72938887	chr8-CQ2,chr8:72638887-73038887
chr8-CQ3	92838887	CQ3	chr8	91838887	93838887	2000001	.	chr8-CQ3,chr8:92837887-92839887	chr8-CQ3,chr8:92828887-92848887	chr8-CQ3,chr8:92738887-92938887	chr8-CQ3,chr8:92638887-93038887
chr8-CQ4	112838887	CQ4	chr8	111838887	113838887	2000001	.	chr8-CQ4,chr8:112837887-112839887	chr8-CQ4,chr8:112828887-112848887	chr8-CQ4,chr8:112738887-112938887	chr8-CQ4,chr8:112638887-113038887
chr8-CQ5	132838887	CQ5	chr8	131838887	133838887	2000001	.	chr8-CQ5,chr8:132837887-132839887	chr8-CQ5,chr8:132828887-132848887	chr8-CQ5,chr8:132738887-132938887	chr8-CQ5,chr8:132638887-133038887
chr9-AP0	1	AP0	chr9	1	200001	200001	可用9p0M	chr9-AP0,chr9:1-1001	chr9-AP0,chr9:1-10001	chr9-AP0,chr9:1-100001	chr9-AP0,chr9:1-200001
chr9-AP1	1000000	AP1	chr9	800000	1200000	400001	.	chr9-AP1,chr9:999000-1001000	chr9-AP1,chr9:990000-1010000	chr9-AP1,chr9:900000-1100000	chr9-AP1,chr9:800000-1200000
chr9-AP2	2000000	AP2	chr9	1800000	2200000	400001	.	chr9-AP2,chr9:1999000-2001000	chr9-AP2,chr9:1990000-2010000	chr9-AP2,chr9:1900000-2100000	chr9-AP2,chr9:1800000-2200000
chr9-AP3	3000000	AP3	chr9	2800000	3200000	400001	.	chr9-AP3,chr9:2999000-3001000	chr9-AP3,chr9:2990000-3010000	chr9-AP3,chr9:2900000-3100000	chr9-AP3,chr9:2800000-3200000
chr9-AP5	5000000	AP5	chr9	4800000	5200000	400001	.	chr9-AP5,chr9:4999000-5001000	chr9-AP5,chr9:4990000-5010000	chr9-AP5,chr9:4900000-5100000	chr9-AP5,chr9:4800000-5200000
chr9-AQ0	141213431	AQ0	chr9	141013431	141213431	200001	可用9q0M	chr9-AQ0,chr9:141212431-141214431	chr9-AQ0,chr9:141203431-141223431	chr9-AQ0,chr9:141113431-141313431	chr9-AQ0,chr9:141013431-141213431
chr9-AQ1	140213431	AQ1	chr9	140013431	140413431	400001	.	chr9-AQ1,chr9:140212431-140214431	chr9-AQ1,chr9:140203431-140223431	chr9-AQ1,chr9:140113431-140313431	chr9-AQ1,chr9:140013431-140413431
chr9-AQ2	139213431	AQ2	chr9	139013431	139413431	400001	.	chr9-AQ2,chr9:139212431-139214431	chr9-AQ2,chr9:139203431-139223431	chr9-AQ2,chr9:139113431-139313431	chr9-AQ2,chr9:139013431-139413431
chr9-AQ3	138213431	AQ3	chr9	138013431	138413431	400001	.	chr9-AQ3,chr9:138212431-138214431	chr9-AQ3,chr9:138203431-138223431	chr9-AQ3,chr9:138113431-138313431	chr9-AQ3,chr9:138013431-138413431
chr9-AQ5	136213431	AQ5	chr9	136013431	136413431	400001	.	chr9-AQ5,chr9:136212431-136214431	chr9-AQ5,chr9:136203431-136223431	chr9-AQ5,chr9:136113431-136313431	chr9-AQ5,chr9:136013431-136413431
chr9-BP1	46000000	BP1	chr9	45800000	46200000	400001	优先设计在46M附近  不好设计的话   一直往前找，实在找不到可用9p39M	chr9-BP1,chr9:45999000-46001000	chr9-BP1,chr9:45990000-46010000	chr9-BP1,chr9:45900000-46100000	chr9-BP1,chr9:45800000-46200000
chr9-BP0	47367679	BP0	chr9	47167679	47567679	400001	.	chr9-BP0,chr9:47366679-47368679	chr9-BP0,chr9:47357679-47377679	chr9-BP0,chr9:47267679-47467679	chr9-BP0,chr9:47167679-47567679
chr9-BQ0	50367679	BQ0	chr9	50167679	50567679	400001	可用9q70M	chr9-BQ0,chr9:50366679-50368679	chr9-BQ0,chr9:50357679-50377679	chr9-BQ0,chr9:50267679-50467679	chr9-BQ0,chr9:50167679-50567679
chr9-BQ1	72000000	BQ1	chr9	71800000	72200000	400001	设计在72M附近，不好设计一直往后找	chr9-BQ1,chr9:71999000-72001000	chr9-BQ1,chr9:71990000-72010000	chr9-BQ1,chr9:71900000-72100000	chr9-BQ1,chr9:71800000-72200000
chr9-CP1	10000000	CP1	chr9	9000000	11000000	2000001	.	chr9-CP1,chr9:9999000-10001000	chr9-CP1,chr9:9990000-10010000	chr9-CP1,chr9:9900000-10100000	chr9-CP1,chr9:9800000-10200000
chr9-CP2	30000000	CP2	chr9	29000000	31000000	2000001	.	chr9-CP2,chr9:29999000-30001000	chr9-CP2,chr9:29990000-30010000	chr9-CP2,chr9:29900000-30100000	chr9-CP2,chr9:29800000-30200000
chr9-CQ1	56367679	CQ1	chr9	55367679	57367679	2000001	skip无法设计	chr9-CQ1,chr9:56366679-56368679	chr9-CQ1,chr9:56357679-56377679	chr9-CQ1,chr9:56267679-56467679	chr9-CQ1,chr9:56167679-56567679
chr9-CQ2	76367679	CQ2	chr9	75367679	77367679	2000001	.	chr9-CQ2,chr9:76366679-76368679	chr9-CQ2,chr9:76357679-76377679	chr9-CQ2,chr9:76267679-76467679	chr9-CQ2,chr9:76167679-76567679
chr9-CQ3	96367679	CQ3	chr9	95367679	97367679	2000001	.	chr9-CQ3,chr9:96366679-96368679	chr9-CQ3,chr9:96357679-96377679	chr9-CQ3,chr9:96267679-96467679	chr9-CQ3,chr9:96167679-96567679
chr9-CQ4	116367679	CQ4	chr9	115367679	117367679	2000001	.	chr9-CQ4,chr9:116366679-116368679	chr9-CQ4,chr9:116357679-116377679	chr9-CQ4,chr9:116267679-116467679	chr9-CQ4,chr9:116167679-116567679
chrX-AP0	1	AP0	chrX	1	200001	200001	XY同源区，与Y染色体同源不算不特异	chrX-AP0,chrX:1-1001	chrX-AP0,chrX:1-10001	chrX-AP0,chrX:1-100001	chrX-AP0,chrX:1-200001
chrX-AP1	1000000	AP1	chrX	800000	1200000	400001	XY同源区，与Y染色体同源不算不特异	chrX-AP1,chrX:999000-1001000	chrX-AP1,chrX:990000-1010000	chrX-AP1,chrX:900000-1100000	chrX-AP1,chrX:800000-1200000
chrX-AP2	2000000	AP2	chrX	1800000	2200000	400001	XY同源区，与Y染色体同源不算不特异	chrX-AP2,chrX:1999000-2001000	chrX-AP2,chrX:1990000-2010000	chrX-AP2,chrX:1900000-2100000	chrX-AP2,chrX:1800000-2200000
chrX-AP3	3000000	AP3	chrX	2800000	3200000	400001	.	chrX-AP3,chrX:2999000-3001000	chrX-AP3,chrX:2990000-3010000	chrX-AP3,chrX:2900000-3100000	chrX-AP3,chrX:2800000-3200000
chrX-AP5	5000000	AP5	chrX	4800000	5200000	400001	.	chrX-AP5,chrX:4999000-5001000	chrX-AP5,chrX:4990000-5010000	chrX-AP5,chrX:4900000-5100000	chrX-AP5,chrX:4800000-5200000
chrX-AQ0	155270560	AQ0	chrX	155070560	155270560	200001	XY同源区，与Y染色体同源不算不特异	chrX-AQ0,chrX:155269560-155271560	chrX-AQ0,chrX:155260560-155280560	chrX-AQ0,chrX:155170560-155370560	chrX-AQ0,chrX:155070560-155270560
chrX-AQ1	154270560	AQ1	chrX	154070560	154470560	400001	.	chrX-AQ1,chrX:154269560-154271560	chrX-AQ1,chrX:154260560-154280560	chrX-AQ1,chrX:154170560-154370560	chrX-AQ1,chrX:154070560-154470560
chrX-AQ2	153270560	AQ2	chrX	153070560	153470560	400001	.	chrX-AQ2,chrX:153269560-153271560	chrX-AQ2,chrX:153260560-153280560	chrX-AQ2,chrX:153170560-153370560	chrX-AQ2,chrX:153070560-153470560
chrX-AQ3	152270560	AQ3	chrX	152070560	152470560	400001	.	chrX-AQ3,chrX:152269560-152271560	chrX-AQ3,chrX:152260560-152280560	chrX-AQ3,chrX:152170560-152370560	chrX-AQ3,chrX:152070560-152470560
chrX-AQ5	150270560	AQ5	chrX	150070560	150470560	400001	.	chrX-AQ5,chrX:150269560-150271560	chrX-AQ5,chrX:150260560-150280560	chrX-AQ5,chrX:150170560-150370560	chrX-AQ5,chrX:150070560-150470560
chrX-BP1	57632012	BP1	chrX	57432012	57832012	400001	.	chrX-BP1,chrX:57631012-57633012	chrX-BP1,chrX:57622012-57642012	chrX-BP1,chrX:57532012-57732012	chrX-BP1,chrX:57432012-57832012
chrX-BP0	58632012	BP0	chrX	58432012	58832012	400001	可用Xp58M	chrX-BP0,chrX:58631012-58633012	chrX-BP0,chrX:58622012-58642012	chrX-BP0,chrX:58532012-58732012	chrX-BP0,chrX:58432012-58832012
chrX-BQ0	63500000	BQ0	chrX	63300000	63700000	400001	可设计在63.5M	chrX-BQ0,chrX:63499000-63501000	chrX-BQ0,chrX:63490000-63510000	chrX-BQ0,chrX:63400000-63600000	chrX-BQ0,chrX:63300000-63700000
chrX-BQ1	62632012	BQ1	chrX	62432012	62832012	400001	.	chrX-BQ1,chrX:62631012-62633012	chrX-BQ1,chrX:62622012-62642012	chrX-BQ1,chrX:62532012-62732012	chrX-BQ1,chrX:62432012-62832012
chrX-CP1	10000000	CP1	chrX	9000000	11000000	2000001	.	chrX-CP1,chrX:9999000-10001000	chrX-CP1,chrX:9990000-10010000	chrX-CP1,chrX:9900000-10100000	chrX-CP1,chrX:9800000-10200000
chrX-CP2	30000000	CP2	chrX	29000000	31000000	2000001	.	chrX-CP2,chrX:29999000-30001000	chrX-CP2,chrX:29990000-30010000	chrX-CP2,chrX:29900000-30100000	chrX-CP2,chrX:29800000-30200000
chrX-CP3	50000000	CP3	chrX	49000000	51000000	2000001	.	chrX-CP3,chrX:49999000-50001000	chrX-CP3,chrX:49990000-50010000	chrX-CP3,chrX:49900000-50100000	chrX-CP3,chrX:49800000-50200000
chrX-CQ1	67632012	CQ1	chrX	66632012	68632012	2000001	.	chrX-CQ1,chrX:67631012-67633012	chrX-CQ1,chrX:67622012-67642012	chrX-CQ1,chrX:67532012-67732012	chrX-CQ1,chrX:67432012-67832012
chrX-CQ2	87632012	CQ2	chrX	86632012	88632012	2000001	.	chrX-CQ2,chrX:87631012-87633012	chrX-CQ2,chrX:87622012-87642012	chrX-CQ2,chrX:87532012-87732012	chrX-CQ2,chrX:87432012-87832012
chrX-CQ3	107632012	CQ3	chrX	106632012	108632012	2000001	.	chrX-CQ3,chrX:107631012-107633012	chrX-CQ3,chrX:107622012-107642012	chrX-CQ3,chrX:107532012-107732012	chrX-CQ3,chrX:107432012-107832012
chrX-CQ4	127632012	CQ4	chrX	126632012	128632012	2000001	.	chrX-CQ4,chrX:127631012-127633012	chrX-CQ4,chrX:127622012-127642012	chrX-CQ4,chrX:127532012-127732012	chrX-CQ4,chrX:127432012-127832012
chrY-AP0	1	AP0	chrY	1	200001	200001	skip XY同源区，X染色体设计了  Y染色体就不设计	chrY-AP0,chrY:1-1001	chrY-AP0,chrY:1-10001	chrY-AP0,chrY:1-100001	chrY-AP0,chrY:1-200001
chrY-AP1	1000000	AP1	chrY	800000	1200000	400001	skip XY同源区，X染色体设计了  Y染色体就不设计	chrY-AP1,chrY:999000-1001000	chrY-AP1,chrY:990000-1010000	chrY-AP1,chrY:900000-1100000	chrY-AP1,chrY:800000-1200000
chrY-AP2	2000000	AP2	chrY	1800000	2200000	400001	skip XY同源区，X染色体设计了  Y染色体就不设计	chrY-AP2,chrY:1999000-2001000	chrY-AP2,chrY:1990000-2010000	chrY-AP2,chrY:1900000-2100000	chrY-AP2,chrY:1800000-2200000
chrY-AP3	3000000	AP3	chrY	2800000	3200000	400001	.	chrY-AP3,chrY:2999000-3001000	chrY-AP3,chrY:2990000-3010000	chrY-AP3,chrY:2900000-3100000	chrY-AP3,chrY:2800000-3200000
chrY-AP5	5000000	AP5	chrY	4800000	5200000	400001	.	chrY-AP5,chrY:4999000-5001000	chrY-AP5,chrY:4990000-5010000	chrY-AP5,chrY:4900000-5100000	chrY-AP5,chrY:4800000-5200000
chrY-AQ0	59373566	AQ0	chrY	59173566	59373566	200001	XY同源区，与X染色体同源不算不特异	chrY-AQ0,chrY:59372566-59374566	chrY-AQ0,chrY:59363566-59383566	chrY-AQ0,chrY:59273566-59473566	chrY-AQ0,chrY:59173566-59373566
chrY-AQ1	58373566	AQ1	chrY	58173566	58573566	400001	XY同源区，与X染色体同源不算不特异	chrY-AQ1,chrY:58372566-58374566	chrY-AQ1,chrY:58363566-58383566	chrY-AQ1,chrY:58273566-58473566	chrY-AQ1,chrY:58173566-58573566
chrY-AQ2	57373566	AQ2	chrY	57173566	57573566	400001	XY同源区，与X染色体同源不算不特异	chrY-AQ2,chrY:57372566-57374566	chrY-AQ2,chrY:57363566-57383566	chrY-AQ2,chrY:57273566-57473566	chrY-AQ2,chrY:57173566-57573566
chrY-AQ3	56373566	AQ3	chrY	56173566	56573566	400001	XY同源区，与X染色体同源不算不特异	chrY-AQ3,chrY:56372566-56374566	chrY-AQ3,chrY:56363566-56383566	chrY-AQ3,chrY:56273566-56473566	chrY-AQ3,chrY:56173566-56573566
chrY-AQ5	54373566	AQ5	chrY	54173566	54573566	400001	XY同源区，与X染色体同源不算不特异	chrY-AQ5,chrY:54372566-54374566	chrY-AQ5,chrY:54363566-54383566	chrY-AQ5,chrY:54273566-54473566	chrY-AQ5,chrY:54173566-54573566
